qqq
64,11
67,24
66,45
61,77
63,86
64,5
67,84
68,25
64,65
65,49
64,83
66,56
66,79
68,65
70,39
72,91
70,94
75,42
75,12
78,51
82,4
85,33
87,55
85,87
90,29
87,62
87,34
91,26
93,86
94,97
99,73
98,74
101,35
105,95
103,2
101,05
108,34
105,54
107,57
109,99
107,01
111,89
104,26
101,71
113,27
113,96
111,8
104,08
102,45
109,14
105,66
110,28
107,48
115,17
116,38
118,66
116,93
117,44
118,42
124,5
129,95
132,31
135,92
141,22
137,57
143,15
146,12
145,37
152,07
155,07
155,68
169,31
167,12
160,05
160,86
169,98
171,56
176,36
186,55
185,69
169,73
169,28
154,18
168,07
173,1
179,57
189,44
173,86
186,64
191
187,37
188,71
196,98
204,99
212,5
218,95
205,69
190,3
218,8
233,24
247,47
265,65
294,73
277,69
269,24
299,46
313,58
314,39
313,98
318,96
337,81
333,75
354,24
364,38
379,75
357,77
385,91
393,61
397,64
362,86
346,62
362,35
313,09
308,12
280,13
315,29
299,11
267,12
277,8
293,21
266,14
294,47
293,41
320,76
322,39
347,81
369,23
383,48
377,79
358,08
350,69
388,63
409,52
416,97
439
444,01
424,59
450,71
479,11
471,07
476,27
488,07
493,15
