gld
164,29
162,12
161,88
151,62
155,19
156,49
164,22
171,89
166,83
166,05
162,02
161,2
153
154,47
142,77
133,92
119,11
127,96
134,62
128,18
127,74
120,7
116,12
120,09
127,62
123,61
124,22
120,43
128,04
123,39
123,86
116,21
112,66
112,11
113,58
123,45
116,16
113,66
113,47
114,1
112,37
104,93
108,82
106,86
109,3
101,92
101,46
106,95
118,64
117,64
123,65
116,06
126,47
128,98
124,78
125,64
121,94
111,75
109,61
115,55
119,23
118,72
120,77
120,62
118,02
120,75
125,82
121,58
120,67
121,1
123,65
127,65
125
125,79
124,59
123,1
118,65
115,99
113,51
112,76
115,15
115,54
121,25
124,75
123,99
122,01
121,2
123,33
133,2
133,21
143,75
138,87
142,43
137,86
142,9
149,33
148,38
148,05
158,8
162,91
167,37
185,43
184,83
177,12
176,2
166,67
178,36
172,61
161,81
159,96
165,66
178,38
165,63
169,82
169,69
164,22
166,65
165,5
170,96
168,09
178,38
180,65
176,91
171,14
168,46
164,1
159,27
154,67
151,91
164,81
169,64
179,41
169,78
183,22
184,8
182,32
178,27
182,35
180,02
171,45
184,09
188,75
191,17
188,45
189,31
205,72
211,87
215,3
215,01
226,55
231,29
243,06
241,05
