"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2017","544.51","542.96","550.63","542.01","","0.29%"
"07/01/2017","557.88","544.76","560.96","541.10","","2.46%"
"08/01/2017","558.29","558.13","561.99","548.62","","0.07%"
"09/01/2017","568.88","558.76","569.60","555.21","","1.90%"
"10/01/2017","579.83","568.80","580.26","568.05","","1.92%"
"11/01/2017","590.63","580.30","591.07","574.05","","1.86%"
"12/01/2017","599.29","590.47","601.61","584.74","","1.47%"
"01/01/2018","631.23","599.97","641.69","599.10","","5.33%"
"02/01/2018","604.52","631.38","632.84","574.08","","-4.23%"
"03/01/2018","590.47","603.32","617.86","581.63","","-2.32%"
"04/01/2018","595.20","590.86","606.93","579.13","","0.80%"
"05/01/2018","593.75","595.15","609.25","585.61","","-0.24%"
"06/01/2018","590.66","593.75","608.68","583.92","","-0.52%"
"07/01/2018","608.85","590.66","612.86","584.54","","3.08%"
"08/01/2018","613.24","608.79","618.52","594.07","","0.72%"
"09/01/2018","616.07","612.51","621.16","600.64","","0.46%"
"10/01/2018","570.03","615.91","619.15","552.68","","-7.47%"
"11/01/2018","575.66","569.66","589.59","556.38","","0.99%"
"12/01/2018","533.44","576.83","584.76","508.96","","-7.33%"
"01/01/2019","574.48","530.24","574.85","523.76","","7.69%"
"02/01/2019","588.92","574.48","593.52","567.74","","2.51%"
"03/01/2019","594.13","588.82","601.11","575.85","","0.88%"
"04/01/2019","613.67","594.13","614.22","594.13","","3.29%"
"05/01/2019","576.39","613.89","615.62","575.40","","-6.07%"
"06/01/2019","613.18","576.92","615.26","575.13","","6.38%"
"07/01/2019","614.82","612.59","624.51","610.79","","0.27%"
"08/01/2019","599.77","613.64","618.23","581.90","","-2.45%"
"09/01/2019","612.34","599.55","621.24","594.47","","2.10%"
"10/01/2019","628.48","611.87","630.73","591.60","","2.64%"
"11/01/2019","643.41","627.96","646.77","627.96","","2.38%"
"12/01/2019","664.28","643.95","667.26","632.72","","3.24%"
"01/01/2020","657.47","662.90","680.38","656.25","","-1.03%"
"02/01/2020","601.05","656.41","683.31","587.03","","-8.58%"
"03/01/2020","518.11","600.79","631.04","442.76","","-13.80%"
"04/01/2020","573.39","519.18","580.18","493.58","","10.67%"
"05/01/2020","599.34","572.80","604.68","545.98","","4.53%"
"06/01/2020","615.53","599.53","642.55","592.69","","2.70%"
"07/01/2020","645.08","615.77","652.92","613.73","","4.80%"
"08/01/2020","684.83","644.53","687.42","644.10","","6.16%"
"09/01/2020","661.25","684.54","696.84","637.90","","-3.44%"
"10/01/2020","641.03","661.43","693.67","636.74","","-3.06%"
"11/01/2020","723.54","641.68","730.10","641.57","","12.87%"
"12/01/2020","756.48","723.86","758.14","723.80","","4.55%"
"01/01/2021","749.56","755.58","781.32","746.49","","-0.91%"
"02/01/2021","767.28","749.59","798.66","749.37","","2.36%"
"03/01/2021","790.85","768.36","798.20","754.14","","3.07%"
"04/01/2021","826.02","790.54","835.60","790.38","","4.45%"
"05/01/2021","837.08","825.86","839.70","803.28","","1.34%"
"06/01/2021","847.05","837.28","850.90","826.96","","1.19%"
"07/01/2021","858.04","847.02","995.27","831.04","","1.30%"
"08/01/2021","877.64","858.02","880.29","850.36","","2.28%"
"09/01/2021","839.17","877.71","886.63","839.17","","-4.38%"
"10/01/2021","882.26","839.13","884.80","830.09","","5.13%"
"11/01/2021","860.73","883.11","900.63","860.73","","-2.44%"
"12/01/2021","898.00","862.22","903.09","853.82","","4.33%"
"01/01/2022","852.22","897.77","905.98","815.02","","-5.10%"
"02/01/2022","830.96","852.22","886.89","790.85","","-2.49%"
"03/01/2022","850.98","831.71","866.50","779.80","","2.41%"
"04/01/2022","779.51","850.05","859.61","778.27","","-8.40%"
"05/01/2022","779.65","778.97","800.65","726.26","","0.02%"
"06/01/2022","708.83","779.80","786.15","689.67","","-9.08%"
