DATE,DTB3
2008-07-01,1.6259090909090909
2008-08-01,1.7219047619047619
2008-09-01,1.1342857142857143
2008-10-01,0.67454545454545454545
2008-11-01,0.19111111111111111111
2008-12-01,0.03454545454545454545
2009-01-01,0.13000000000000000000
2009-02-01,0.29578947368421052632
2009-03-01,0.21363636363636363636
2009-04-01,0.15809523809523809524
2009-05-01,0.17600000000000000000
2009-06-01,0.17681818181818181818
2009-07-01,0.18363636363636363636
2009-08-01,0.17142857142857142857
2009-09-01,0.12333333333333333333
2009-10-01,0.07428571428571428571
2009-11-01,0.05210526315789473684
2009-12-01,0.05454545454545454545
2010-01-01,0.06157894736842105263
2010-02-01,0.10894736842105263158
2010-03-01,0.15043478260869565217
2010-04-01,0.16227272727272727273
2010-05-01,0.16000000000000000000
2010-06-01,0.12363636363636363636
2010-07-01,0.15761904761904761905
2010-08-01,0.15500000000000000000
2010-09-01,0.15190476190476190476
2010-10-01,0.13450000000000000000
2010-11-01,0.14300000000000000000
2010-12-01,0.14090909090909090909
2011-01-01,0.15200000000000000000
2011-02-01,0.13210526315789473684
2011-03-01,0.10043478260869565217
2011-04-01,0.05850000000000000000
2011-05-01,0.04095238095238095238
2011-06-01,0.03727272727272727273
2011-07-01,0.03750000000000000000
2011-08-01,0.02434782608695652174
2011-09-01,0.01380952380952380952
2011-10-01,0.01900000000000000000
2011-11-01,0.01400000000000000000
2011-12-01,0.01142857142857142857
2012-01-01,0.03450000000000000000
2012-02-01,0.09200000000000000000
2012-03-01,0.08409090909090909091
2012-04-01,0.08380952380952380952
2012-05-01,0.08954545454545454545
2012-06-01,0.09142857142857142857
2012-07-01,0.09714285714285714286
2012-08-01,0.10260869565217391304
2012-09-01,0.10526315789473684211
2012-10-01,0.10476190476190476190
2012-11-01,0.09350000000000000000
2012-12-01,0.07000000000000000000
2013-01-01,0.07428571428571428571
2013-02-01,0.09894736842105263158
2013-03-01,0.08700000000000000000
2013-04-01,0.06000000000000000000
2013-05-01,0.04409090909090909091
2013-06-01,0.05050000000000000000
2013-07-01,0.03545454545454545455
2013-08-01,0.04363636363636363636
2013-09-01,0.01600000000000000000
2013-10-01,0.04727272727272727273
2013-11-01,0.06789473684210526316
2013-12-01,0.06666666666666666667
2014-01-01,0.04333333333333333333
2014-02-01,0.05263157894736842105
2014-03-01,0.05238095238095238095
2014-04-01,0.03095238095238095238
2014-05-01,0.03238095238095238095
2014-06-01,0.03571428571428571429
2014-07-01,0.02636363636363636364
2014-08-01,0.03285714285714285714
2014-09-01,0.02000000000000000000
2014-10-01,0.01681818181818181818
2014-11-01,0.02166666666666666667
2014-12-01,0.02909090909090909091
2015-01-01,0.02750000000000000000
2015-02-01,0.01789473684210526316
2015-03-01,0.02772727272727272727
2015-04-01,0.02318181818181818182
2015-05-01,0.01650000000000000000
2015-06-01,0.01500000000000000000
2015-07-01,0.03227272727272727273
2015-08-01,0.07190476190476190476
2015-09-01,0.02238095238095238095
2015-10-01,0.01523809523809523810
2015-11-01,0.12473684210526315789
2015-12-01,0.22772727272727272727
2016-01-01,0.25526315789473684211
2016-02-01,0.31250000000000000000
2016-03-01,0.29409090909090909091
2016-04-01,0.22809523809523809524
2016-05-01,0.27428571428571428571
2016-06-01,0.26954545454545454545
2016-07-01,0.29750000000000000000
2016-08-01,0.29739130434782608696
2016-09-01,0.29190476190476190476
2016-10-01,0.32650000000000000000
2016-11-01,0.44600000000000000000
2016-12-01,0.50523809523809523810
2017-01-01,0.51150000000000000000
2017-02-01,0.52105263157894736842
2017-03-01,0.73739130434782608696
2017-04-01,0.79842105263157894737
2017-05-01,0.88909090909090909091
2017-06-01,0.98272727272727272727
2017-07-01,1.0670000000000000
2017-08-01,1.01434782608695652174
2017-09-01,1.02950000000000000000
2017-10-01,1.0747619047619048
2017-11-01,1.2295238095238095
2017-12-01,1.3220000000000000
2018-01-01,1.4133333333333333
2018-02-01,1.5678947368421053
2018-03-01,1.6966666666666667
2018-04-01,1.7576190476190476
2018-05-01,1.8640909090909091
2018-06-01,1.8990476190476190
